# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 200
# Emin, Emax in file for selected band(s):    -87.0079303    242.1276830
# Nbands, Nspin, Nk   =    200     2    22
# E_F                 =    -7.7270 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    136.382059      0.000000      0.000000      0.000000
    138.039022      0.000860      0.000728      0.001588
    139.695984      0.000000      0.000000      0.000000
    141.352947      0.000000      0.000000      0.000000
    143.009910      0.000000      0.000000      0.000000
    144.666873      0.000000      0.000000      0.000000
    146.323836      0.000000      0.000000      0.000000
    147.980799      0.000000      0.000000      0.000000
    149.637762      0.000000      0.000000      0.000000
    151.294725      0.000000      0.000000      0.000000
    152.951687      0.000000      0.000000      0.000000
    154.608650      0.000000      0.000000      0.000000
    156.265613      0.000000      0.000000      0.000000
    157.922576      0.000000      0.000000      0.000000
    159.579539      0.000000      0.000000      0.000000
    161.236502      0.000000      0.000000      0.000000
    162.893465      0.000000      0.000000      0.000000
    164.550428      0.000000      0.000000      0.000000
    166.207390      0.000000      0.000000      0.000000
    167.864353      0.000000      0.000000      0.000000
    169.521316      0.000000      0.000000      0.000000
    171.178279      0.000000      0.000000      0.000000
    172.835242      1.321628      1.420839      2.742467
    174.492205      0.000000      0.000000      0.000000
    176.149168      0.466468      0.493144      0.959612
    177.806131      0.000000      0.000000      0.000000
    179.463094      0.000000      0.000000      0.000000
    181.120056      0.000167      0.000117      0.000284
    182.777019      0.000000      0.000000      0.000000
    184.433982      0.000000      0.000000      0.000000
    186.090945      0.000000      0.000000      0.000000
    187.747908      0.000000      0.000000      0.000000
    189.404871      0.305035      0.297711      0.602746
    191.061834      0.000000      0.000000      0.000000
    192.718797      0.000000      0.000000      0.000000
    194.375759      0.000000      0.000000      0.000000
    196.032722      0.000000      0.000000      0.000000
    197.689685      0.000000      0.000000      0.000000
    199.346648      0.000000      0.000000      0.000000
    201.003611      0.000000      0.000000      0.000000
    202.660574      0.000000      0.000000      0.000000
    204.317537      0.000000      0.000000      0.000000
    205.974500      0.000000      0.000000      0.000000
    207.631463      0.000000      0.000000      0.000000
    209.288425      0.000000      0.000000      0.000000
    210.945388      0.000355      0.000502      0.000856
    212.602351      0.000000      0.000000      0.000000
    214.259314      0.000000      0.000000      0.000000
    215.916277      0.000000      0.000000      0.000000
    217.573240      0.000000      0.000000      0.000000
    219.230203      0.000000      0.000000      0.000000
    220.887166      0.000000      0.000000      0.000000
    222.544128      0.000000      0.000000      0.000000
    224.201091      0.000000      0.000000      0.000000
