system_id,VEC,abs_moment_per_atom,mag_ordering
system_156,7.0,0.013560125,FM
system_157,7.875,0.6511315,FM
system_158,6.166666666666666,1.1459523333333332,FiM
system_159,6.5,0.0,NM
system_160,6.5,1.70883975,FiM
system_161,7.0,0.0163023333333333,NM
system_162,7.0,0.02951625,FiM
system_163,6.0,0.7684486666666667,FM
system_164,7.0,0.0215439999999999,AFM
system_165,7.0,0.0163393333333333,NM
system_166,4.0,0.79014325,AFM
system_167,7.875,0.5095824999999999,FM
system_168,7.0,0.0154663333333333,NM
system_169,6.2,0.4114173,FM
system_170,4.333333333333333,1.0427058333333334,FM
system_171,6.5,1.70809725,FiM
system_172,7.375,1.2954672500000002,AFM
system_173,7.375,0.980794375,FiM
system_174,7.0,0.7736433,AFM
system_175,7.25,1.4989123750000002,AFM
system_176,7.375,0.9396355,FiM
system_177,7.125,1.2199421249999998,FM
system_178,6.875,1.498851875,AFM
system_179,8.5,0.855406,FM
system_180,6.333333333333334,1.575408333333333,FiM
system_181,6.5,1.69393525,FiM
system_183,6.200000000000001,0.7619471000000001,FiM
system_184,7.125,0.6516175,FM
system_185,5.5,0.7458806666666667,AFM
system_187,3.6666666666666665,0.5996484999999999,FM
system_188,6.5,0.0,NM
system_189,8.0,0.7104935,AFM
system_190,4.0,0.95055775,FM
system_191,9.1,0.8810356,FiM
system_192,8.5,1.4141071666666667,FiM
system_193,7.9,0.1305342,FM
system_194,3.6666666666666665,0.5987011666666667,FM
system_195,6.5,0.0,NM
system_196,7.5,1.0629355,FM
system_197,5.75,0.8766578749999999,FM
system_198,5.75,0.91105325,FM
system_199,10.0,0.68478875,FM
system_201,7.0,5.9e-05,NM
system_202,5.375,0.79123925,FiM
system_203,7.0,0.7042891000000001,AFM
system_204,7.75,1.14160975,FiM
system_205,7.999999999999999,0.9208743333333334,FiM
system_206,7.375,1.293639875,AFM
system_207,7.0,0.0202581666666666,FiM
system_208,10.0,0.685264,FM
system_209,4.199999999999999,0.5231656,FM
system_210,6.1,1.0925661000000002,FiM
system_211,7.0,0.00876425,NM
system_212,5.0,0.748699,AFM
system_213,7.0,0.018997625,FM
system_214,7.75,1.15593575,FiM
system_215,6.5,0.0,NM
system_216,10.0,0.6848208333333333,FM
system_217,7.0,0.00587575,NM
system_218,6.5,0.0,NM
system_219,7.75,0.9097905,FiM
system_220,6.5,4.666666666666667e-06,NM
system_221,7.625,1.29603075,AFM
system_222,6.5,1.1555393,AFM
system_223,8.5,0.7778928333333334,FiM
system_224,7.0,0.7816595,AFM
system_225,8.0,1.3364558750000002,FiM
system_226,3.0,0.0,NM
system_227,6.5,0.00906725,NM
system_228,7.5,0.8506066666666667,FiM
system_229,8.25,0.0327183749999999,FM
system_230,6.5,1.7845673750000002,FiM
system_231,6.375,1.436310125,FiM
system_232,5.0,1.22749675,AFM
system_233,7.999999999999999,0.4728281666666666,FiM
system_234,7.0,0.01057325,NM
system_235,6.9,1.6672952,FiM
system_236,6.875,1.829956,FiM
system_237,7.0,0.01450525,NM
system_238,3.0,0.0,NM
system_239,8.75,0.7545758750000001,FM
system_240,6.166666666666666,1.0738246666666666,FiM
system_241,7.0,0.7881413749999999,AFM
system_242,4.333333333333333,1.0384395,FM
system_243,6.0,0.7835593333333334,FM
system_244,6.25,1.266302875,FiM
system_245,7.75,0.60870875,AFM
system_246,6.875,1.5578880000000002,FiM
system_247,6.875,1.531073875,FiM
system_248,7.375,0.925789375,AFM
system_250,7.0,0.02745425,FM
system_251,7.0,0.0267565,AFM
system_252,7.5,0.99133675,FM
system_253,7.833333333333333,1.0014096666666668,AFM
system_254,4.875,0.772209,FiM
system_255,7.0,0.0124575,NM
system_256,7.25,1.1552495,AFM
system_258,8.0,0.4753827499999999,FiM
system_259,6.5,1.5610345,AFM
system_261,5.0,1.5603345,FM
system_262,6.875,1.48906675,AFM
system_263,7.75,0.909501,FiM
system_264,6.625,0.97521575,FM
system_265,6.5,1.679266625,AFM
system_266,8.375,0.789273125,AFM
system_267,7.333333333333333,1.5917458333333332,FiM
system_268,7.375,0.686023625,AFM
system_269,8.5,1.503415,AFM
system_270,8.5,0.855391,FM
system_271,4.75,0.0,NM
system_272,6.5,1.705333875,FiM
system_273,7.199999999999999,1.6766889999999997,FiM
system_274,8.5,0.012143,NM
system_275,6.75,1.847237,FM
system_276,7.0,0.0152515,NM
system_277,6.5,1.697117,FiM
system_278,6.300000000000001,0.9087311,FiM
system_281,4.4,0.0,NM
system_282,7.25,1.5154960000000002,AFM
system_283,8.25,0.0001295,NM
system_284,7.0,0.0248675,FM
system_285,7.3,0.7579812,AFM
system_286,6.833333333333332,1.7510034999999995,FiM
system_287,7.125,1.284489125,FiM
system_288,7.0,0.7552569,AFM
system_289,9.625,0.842317875,FM
system_290,7.125,1.20701225,FiM
system_291,6.375,1.490879,AFM
system_292,7.125,0.974695375,FiM
system_293,8.25,2.5e-07,NM
system_294,7.0,0.7666108,AFM
system_295,7.0,0.700699875,AFM
system_296,6.333333333333334,1.5768416666666667,FiM
system_298,5.0,1.352941125,FiM
system_299,6.25,0.852533375,AFM
system_300,6.333333333333334,0.9463716666666668,FiM
system_303,7.0,4.916666666666667e-05,NM
system_304,8.4,0.468893,FM
system_305,5.799999999999999,0.9066237,FiM
system_306,8.0,0.85281525,AFM
system_307,9.7,0.8759194000000001,FM
system_308,4.0,0.81716575,FM
system_309,8.2,0.5726586,AFM
system_311,5.333333333333333,0.0,NM
system_313,6.25,0.948082875,AFM
system_314,8.0,1.3061485,FiM
system_315,7.25,1.155394125,FiM
system_316,8.75,0.6738942499999999,FM
system_317,6.0,1.78877575,AFM
system_318,6.0,1.5289233750000002,AFM
system_319,8.25,0.0,NM
system_320,5.300000000000001,1.0266362999999998,FiM
system_321,7.0,0.00171725,NM
system_322,5.0,1.5603345,FM
system_323,6.333333333333334,1.7104956666666669,FiM
system_324,7.625,1.3520395,AFM
system_325,8.125,0.54013525,FM
system_326,5.0,1.3665286250000002,FiM
system_329,5.0,1.128941,AFM
system_331,7.0,0.029921875,FiM
system_332,6.75,1.84721525,FM
system_333,7.333333333333333,1.1481525,FiM
system_334,7.3,0.8670166,FM
system_336,7.875,0.5461533749999999,FM
system_337,6.25,1.3860335,FM
system_338,7.0,0.0566476666666666,AFM
system_339,5.666666666666666,1.3219896666666666,AFM
system_340,7.0,0.7763074999999999,AFM
system_341,4.875,0.1366805,FiM
system_342,5.375,1.1254755,FiM
system_344,8.5,0.855404,FM
system_345,5.0,1.250632125,FiM
system_346,6.5,1.791505,FiM
system_347,7.75,1.0734855,AFM
system_350,5.2,0.4425363,AFM
system_351,7.833333333333333,1.001656,AFM
system_352,7.7,1.0233817,FiM
system_353,5.0,1.13140975,AFM
system_354,6.0,1.332457,AFM
system_355,8.375,0.7535953750000001,AFM
system_356,6.75,1.2993312499999998,FiM
system_357,6.875,0.39031625,FiM
system_358,7.0,0.0127688333333333,NM
system_359,7.0,0.0130568333333333,NM
system_360,5.0,1.128941,AFM
system_361,6.25,1.2719365,FM
system_362,3.6666666666666665,0.6802176666666667,FM
system_363,4.0,0.9505635,FM
system_365,4.75,0.0,NM
system_368,8.7,0.9954692,FM
system_369,7.75,0.7315778749999999,FiM
system_370,8.875,1.3869297500000002,FiM
system_371,5.5,1.45785475,FiM
system_372,7.625,1.510949875,AFM
system_374,7.5,0.86064525,AFM
system_375,10.0,0.6824826666666667,FM
system_376,6.125,0.554093375,FM
system_377,6.166666666666666,1.2242926666666667,FiM
system_378,7.0,0.7448183,AFM
system_379,9.125,0.36927025,FM
system_380,8.125,0.567578125,FM
system_381,8.25,0.004881,NM
system_382,4.199999999999999,1.0329774,FM
system_383,9.25,0.7331175,FM
system_384,7.25,1.61014325,FiM
system_385,7.5,0.97080875,AFM
system_387,5.875,1.3892563750000002,FiM
system_388,6.25,0.909559,FiM
system_390,6.333333333333334,1.5687821666666668,FiM
system_391,7.125,1.3010075,FiM
system_392,8.4,1.0564893999999998,FiM
system_393,6.5,1.70104175,FiM
system_394,9.4,0.2313017,AFM
system_395,6.9,1.5751463,AFM
system_396,6.200000000000001,1.7033017,FiM
system_397,9.5,0.982416,FM
system_398,6.0,1.571516875,FiM
system_399,5.5,1.01747875,FM
system_400,6.0,1.468365125,AFM
system_401,9.25,0.82524225,AFM
system_402,6.5,0.0,NM
system_403,7.0,0.756494,AFM
