x_Mn,x_Ni,x_Ga,VEC,predicted_ordering,confidence,prob_AFM,prob_FM,prob_FiM,prob_NM
0.0,0.0,1.0,3.0,NM,0.9994917775057323,5.926866979394244e-05,0.0003980346025961489,5.091922187756656e-05,0.9994917775057323
0.0,0.02,0.98,3.14,NM,0.9995776152775034,5.06960949945559e-05,0.0003208016741145597,5.0886953387562304e-05,0.9995776152775034
0.0,0.04,0.96,3.28,NM,0.999573445742232,5.770823348035635e-05,0.00030947508804788596,5.937093623985969e-05,0.999573445742232
0.0,0.06,0.94,3.42,NM,0.9996002310142894,5.994284795638387e-05,0.0002831580073714582,5.666813038269457e-05,0.9996002310142894
0.0,0.08,0.92,3.5600000000000005,NM,0.9996397756905093,5.654913669565818e-05,0.0002471259044511179,5.654926834381575e-05,0.9996397756905093
0.0,0.1,0.9,3.7,NM,0.9996537692516172,5.797669093761771e-05,0.00023425380346601068,5.400025397921831e-05,0.9996537692516172
0.0,0.12,0.88,3.84,NM,0.9996814643637736,5.683563814711883e-05,0.00020827394762036735,5.3426050458933926e-05,0.9996814643637736
0.0,0.14,0.86,3.9800000000000004,NM,0.999570871158712,0.00012346017800964732,0.00024585192121910756,5.981674205928659e-05,0.999570871158712
0.0,0.16,0.84,4.12,NM,0.9995369649990931,9.080839165768208e-05,0.00031400280582374065,5.8223803425425074e-05,0.9995369649990931
0.0,0.18,0.82,4.26,NM,0.9995300259882656,0.00011032750667885518,0.00029924373873747124,6.0402766318137766e-05,0.9995300259882656
0.0,0.2,0.8,4.4,NM,0.9995311645697038,0.00011023956511074107,0.0002948689326493716,6.372693253606712e-05,0.9995311645697038
0.0,0.22,0.78,4.54,NM,0.9992341408735606,0.00017764653361045769,0.0004876106690435625,0.00010060192378544546,0.9992341408735606
0.0,0.24,0.76,4.68,NM,0.9992909314979798,0.0001374943120829241,0.0004813726632413731,9.020152669581454e-05,0.9992909314979798
0.0,0.26,0.74,4.82,NM,0.9993450129759435,6.453563817146692e-05,0.0005314705226994622,5.898086318565045e-05,0.9993450129759435
0.0,0.28,0.72,4.960000000000001,NM,0.997617877556801,0.0002672281372418948,0.0018855058223021675,0.0002293884836548546,0.997617877556801
0.0,0.3,0.7,5.1,NM,0.9980232358892847,0.00022369044589687085,0.0015650316138873443,0.00018804205093113168,0.9980232358892847
0.0,0.32,0.68,5.24,NM,0.9993110328155996,0.00010463633887649744,0.0005134041972978796,7.092664822602416e-05,0.9993110328155996
0.0,0.34,0.66,5.380000000000001,NM,0.9993954922310561,7.213977503207596e-05,0.0004774147069268269,5.495328698494361e-05,0.9993954922310561
0.0,0.36,0.64,5.52,NM,0.9995381159567559,5.271860049803172e-05,0.00037012460170693763,3.904084103927256e-05,0.9995381159567559
0.0,0.38,0.62,5.66,NM,0.9982773754672318,0.00019605734372705848,0.00141005062335468,0.00011651656568633802,0.9982773754672318
0.0,0.4,0.6,5.8,NM,0.9987823427151529,0.00015486570487254682,0.0009704090047807644,9.23825751938123e-05,0.9987823427151529
0.0,0.42,0.58,5.9399999999999995,NM,0.999577029055112,7.13586958469982e-05,0.0003089015459657098,4.271070307528684e-05,0.999577029055112
0.0,0.44,0.56,6.08,NM,0.9997674816362319,4.4561955121889784e-05,0.00016162714345725849,2.6329265188905247e-05,0.9997674816362319
0.0,0.46,0.54,6.220000000000001,NM,0.9999590637273872,1.1216415807297116e-05,2.3229517439353928e-05,6.4903393661660415e-06,0.9999590637273872
0.0,0.48,0.52,6.359999999999999,NM,0.9999588128596449,1.0062261791022314e-05,2.4801558838382672e-05,6.323319725595118e-06,0.9999588128596449
0.0,0.5,0.5,6.5,NM,0.9999646290990162,8.839061098266803e-06,2.0559564731613565e-05,5.972275154002893e-06,0.9999646290990162
0.0,0.52,0.48,6.640000000000001,NM,0.9999487976784912,1.125445839263244e-05,3.210209018344787e-05,7.845772932744142e-06,0.9999487976784912
0.0,0.54,0.46,6.78,NM,0.999948189711241,1.1718674615915887e-05,3.28464690505499e-05,7.2451450924838565e-06,0.999948189711241
0.0,0.56,0.44,6.920000000000001,NM,0.9999110445994496,1.515352962576304e-05,6.362873218298101e-05,1.0173138741654117e-05,0.9999110445994496
