feature,importance_mean,importance_std
Mn_4s_dn_occ_center,4.415763534011778e-05,3.95157666124922e-06
Ni_3d_dn_skew,3.945526853256591e-05,3.909538090809359e-06
avg_r,2.872214726425959e-05,4.8381934287249425e-06
Ga_4p_dos_ef_dn,2.566372749693846e-05,3.756086440567718e-06
Ga_4p_up_width,2.4044809564501464e-05,2.102814917568739e-06
Ga_4p_dn_occ_filling,1.880353144561031e-05,2.433765584238236e-06
std_valence_Ni,1.8496829159893777e-05,1.8640941029119187e-06
avg_charge_Mn,1.8274301649849147e-05,2.1308029431789626e-06
Ni_3d_up_skew,1.7831854711836127e-05,1.996728085570695e-06
Mn_4s_dn_skew,1.716907366352179e-05,2.1266309895864007e-06
std_charge_Ni,1.6837396704301917e-05,1.837006754031779e-06
gamma,1.5402288517748127e-05,1.5112192661395117e-06
avg_valence_Mn,7.341325004236084e-06,8.404279702315867e-07
beta,5.116472034013182e-06,6.737500649817636e-07
x_Ni_x_Ga,5.063993084897245e-06,1.0925100097472223e-06
n_atoms,2.8487724546407317e-06,7.313905653214681e-07
x_Ga,1.7125711707940046e-06,3.187293707582245e-07
stress_xy,1.2022598656513672e-06,1.793700628941046e-07
alpha,9.451954291139763e-07,1.4358635014128062e-07
n_Ni,7.778250020148054e-07,1.5820857725205476e-07
n_Ga,7.402321364609795e-07,1.5921005482119618e-07
n_Mn,6.492227646666867e-07,4.049530353616159e-07
x_Ga_sq,5.55805783064578e-07,2.6429810929208965e-07
n_elements,3.833536045975509e-07,1.509463285346622e-07
stress_xz,3.7699455718668654e-07,1.244571934248949e-07
has_Ni,3.1481633527471095e-07,1.9313831897374286e-07
has_Ga,2.2215040623718707e-07,1.503901559147922e-07
stress_yz,1.5303253046994315e-07,3.488045647750124e-08
has_Mn,-7.268108755583332e-09,2.915306683768228e-09
half_metallic_proxy,-2.00434723078106e-08,3.7224962053865223e-09
