feature,importance_mean,importance_std
Mn_3d_up_integral,3.6948354611506435e-06,4.4168426526583307e-07
x_Ga_sq,3.170649770837623e-06,5.769630630911099e-07
alpha,2.8905275596994665e-06,5.069371621687749e-07
x_Ga,2.2170893717143867e-06,6.211673086857353e-07
beta,1.7834024449288795e-06,3.196631750141405e-07
n_Ga,1.1327827665256565e-06,2.7589613140401303e-07
stress_yz,4.197254495482324e-07,5.535700322844657e-08
stress_xy,3.407387684932021e-07,7.186111379659813e-08
n_Mn,1.7586996909531767e-07,5.9227764525675076e-08
has_Mn,6.901433184195819e-09,2.149561563715205e-09
has_Ni,5.842357878963848e-09,2.4194642150240425e-09
stress_xz,7.303642135525479e-10,1.341579182988597e-10
has_Ga,-5.6499390536461176e-09,3.044397433021576e-08
