# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 97
# Emin, Emax in file for selected band(s):   -110.3482780    216.8072390
# Nbands, Nspin, Nk   =     97     2    46
# E_F                 =    -6.5617 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    110.051417      0.000002      0.000001      0.000004
    111.698430      0.075570      0.062943      0.138513
    113.345442      0.433419      0.003791      0.437209
    114.992455      0.000000      0.000160      0.000160
    116.639467      0.000000      0.009368      0.009368
    118.286480      0.622072      0.155663      0.777735
    119.933493      0.000007      0.094757      0.094765
    121.580505      0.000000      0.163042      0.163042
    123.227518      0.119135      0.000172      0.119307
    124.874531      0.000000      0.000000      0.000000
    126.521543      0.580010      0.000000      0.580010
    128.168556      0.000000      0.000000      0.000000
    129.815569      0.000000      0.000000      0.000000
    131.462581      0.343519      1.111484      1.455003
    133.109594      0.000000      0.000000      0.000000
    134.756607      0.515449      0.265567      0.781016
    136.403619      0.712486      0.014798      0.727284
    138.050632      0.000001      0.000000      0.000001
    139.697645      0.000000      0.000000      0.000000
    141.344657      0.001064      0.000000      0.001064
    142.991670      0.000000      0.111117      0.111117
    144.638682      0.045888      0.122775      0.168663
    146.285695      0.000000      0.372005      0.372005
    147.932708      0.000000      0.000000      0.000000
    149.579720      0.000000      0.001533      0.001533
    151.226733      0.008205      0.035082      0.043287
    152.873746      0.010763      0.000000      0.010763
    154.520758      0.000000      0.002236      0.002236
    156.167771      0.000726      0.000000      0.000726
    157.814784      0.000000      0.000000      0.000000
    159.461796      0.000000      0.000000      0.000000
    161.108809      0.000000      0.153512      0.153512
    162.755822      0.000000      0.000000      0.000000
    164.402834      0.000000      0.214616      0.214616
    166.049847      0.034320      0.000017      0.034337
    167.696860      0.000859      0.000000      0.000860
    169.343872      0.000000      0.000000      0.000000
    170.990885      0.405521      0.000000      0.405521
    172.637897      0.000000      0.000000      0.000000
    174.284910      0.000000      0.000005      0.000005
    175.931923      0.000000      0.000000      0.000000
    177.578935      0.090636      0.000000      0.090636
    179.225948      0.655922      0.000000      0.655922
    180.872961      0.000000      0.000000      0.000000
    182.519973      0.153263      0.000000      0.153263
    184.166986      0.000000      0.000000      0.000000
    185.813999      0.000000      0.000000      0.000000
    187.461011      0.000000      0.000000      0.000000
    189.108024      0.000000      0.000000      0.000000
    190.755037      0.000000      0.000000      0.000000
    192.402049      0.000000      0.000000      0.000000
    194.049062      0.000000      0.000347      0.000347
    195.696075      0.000000      0.000000      0.000000
    197.343087      0.000000      0.000000      0.000000
    198.990100      0.000000      0.000000      0.000000
    200.637113      0.000000      0.000000      0.000000
    202.284125      0.000000      0.000000      0.000000
    203.931138      0.000000      0.000000      0.000000
    205.578150      0.000000      0.000000      0.000000
    207.225163      0.000000      0.000000      0.000000
    208.872176      0.000000      0.000000      0.000000
    210.519188      0.000000      0.000000      0.000000
    212.166201      0.000000      0.000000      0.000000
    213.813214      0.000000      0.000000      0.000000
    215.460226      0.000000      0.000000      0.000000
    217.107239      0.000000      0.000001      0.000001
