(written by ASE)

16 atoms
3 atom types

0.0      5.9639199999999999  xlo xhi
0.0      5.9639199999999999  ylo yhi
0.0      5.9639199999999999  zlo zhi

Atoms # charge

     1   1 -1.900751      4.4729399999999995                 1.49098                 1.49098
     2   1 -1.900747                 1.49098      4.4729399999999995                 1.49098
     3   3 0.26489      2.9819599999999999      2.9819599999999999      2.9819599999999999
     4   3 -0.03042                 1.49098                 1.49098      4.4729399999999995
     5   3 -0.030389      4.4729399999999995      4.4729399999999995      4.4729399999999995
     6   2 0.179773                       0                       0                       0
     7   2 0.393865      2.9819599999999999                       0                       0
     8   2 0.394997                       0      2.9819599999999999                       0
     9   2 0.250803      2.9819599999999999      2.9819599999999999                       0
    10   2 0.705919                 1.49098                 1.49098                 1.49098
    11   2 0.70594      4.4729399999999995      4.4729399999999995                 1.49098
    12   2 0.330897                       0                       0      2.9819599999999999
    13   2 0.285721      2.9819599999999999                       0      2.9819599999999999
    14   2 0.285871                       0      2.9819599999999999      2.9819599999999999
    15   2 0.031822      4.4729399999999995                 1.49098      4.4729399999999995
    16   2 0.031809                 1.49098      4.4729399999999995      4.4729399999999995
