# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 150
# Emin, Emax in file for selected band(s):    -87.0148987    242.1852170
# Nbands, Nspin, Nk   =    150     2    31
# E_F                 =    -7.7266 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    -87.314899      0.000000      0.000000      0.000000
    -85.657612      0.000000      0.000000      0.000000
    -84.000325      0.000000      0.000000      0.000000
    -82.343038      0.000000      0.000000      0.000000
    -80.685751      0.000000      0.000000      0.000000
    -79.028464     20.921422     31.574201     52.495623
    -77.371177      0.000000      0.000000      0.000000
    -75.713890      0.000000      0.000000      0.000000
    -74.056603      0.000000      0.000000      0.000000
    -72.399316      0.000000      0.000000      0.000000
    -70.742029      0.000000      0.000000      0.000000
    -69.084742      0.000000      0.000000      0.000000
    -67.427455      0.000000      0.000000      0.000000
    -65.770168      0.000000      0.000000      0.000000
    -64.112881      0.000000      0.000000      0.000000
    -62.455593      0.000000      0.000000      0.000000
    -60.798306      0.000000      0.000000      0.000000
    -59.141019      0.000000      0.000000      0.000000
    -57.483732      0.000000      0.000000      0.000000
    -55.826445      0.000000      0.000000      0.000000
    -54.169158      0.000000      0.000000      0.000000
    -52.511871      0.000000      0.000000      0.000000
    -50.854584      0.000000      0.000000      0.000000
    -49.197297      0.000000      0.000000      0.000000
    -47.540010      7.684781     11.459357     19.144138
    -45.882723      0.000000      0.000000      0.000000
    -44.225436      0.000000      0.000000      0.000000
    -42.568149      0.000000      0.000000      0.000000
    -40.910862      0.000000      0.000000      0.000000
    -39.253575      0.000000      0.000000      0.000000
    -37.596288      0.000000      0.000000      0.000000
    -35.939001      0.000000      0.000000      0.000000
    -34.281714      0.000000      0.000000      0.000000
    -32.624427      0.000000      0.000000      0.000000
    -30.967140      0.000000      0.000000      0.000000
    -29.309853      0.000000      0.000000      0.000000
    -27.652566      0.000000      0.000000      0.000000
    -25.995279      0.000000      0.000000      0.000000
    -24.337992      0.000000      0.000000      0.000000
    -22.680705      0.000000      0.000000      0.000000
    -21.023418      0.000000      0.000000      0.000000
    -19.366131      0.000000      0.000000      0.000000
    -17.708844      0.000000      0.000000      0.000000
    -16.051557      0.000000      0.000000      0.000000
    -14.394270      0.000000      0.000000      0.000000
    -12.736983      0.000000      0.000000      0.000000
    -11.079696      0.000000      0.000000      0.000000
     -9.422409      0.000000      0.000000      0.000000
     -7.765122      0.493709      0.506382      1.000091
     -6.107835      0.000000      0.000000      0.000000
     -4.450548      1.340713      1.434628      2.775341
     -2.793261      1.835832      1.268865      3.104697
     -1.135974      4.146937      3.374467      7.521404
      0.521313      4.302615      3.225248      7.527863
      2.178600      3.139095      2.347790      5.486886
      3.835887      0.731872      0.437898      1.169770
      5.493174      1.228543      1.611788      2.840331
      7.150461      0.000000      0.000000      0.000000
      8.807748      0.000015      0.000059      0.000073
     10.465035      0.241101      0.320544      0.561645
     12.122322      6.773971      7.291836     14.065807
     13.779609      1.774817      1.618288      3.393104
     15.436896      3.736749      3.421212      7.157961
     17.094183      2.387270      2.425887      4.813157
     18.751470      0.657641      0.567576      1.225217
     20.408757      3.039481      2.933407      5.972888
     22.066044      0.213021      0.308521      0.521542
     23.723331      0.000367      0.000132      0.000499
     25.380618      0.887081      1.126460      2.013541
     27.037905      0.007034      0.010539      0.017573
     28.695192      0.000000      0.000000      0.000000
