# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 50
# Emin, Emax in file for selected band(s):    -87.1667428    244.1419360
# Nbands, Nspin, Nk   =     50     2    89
# E_F                 =    -7.7239 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    137.697436      0.000002      0.000002      0.000003
    139.365319      0.000000      0.000000      0.000000
    141.033202      0.000000      0.000000      0.000000
    142.701085      0.136541      0.136459      0.273000
    144.368968      0.000000      0.000000      0.000000
    146.036850      0.139939      0.139944      0.279883
    147.704733      0.093160      0.093176      0.186337
    149.372616      0.000000      0.000000      0.000000
    151.040499      0.000000      0.000000      0.000000
    152.708382      0.000000      0.000000      0.000000
    154.376264      0.000000      0.000000      0.000000
    156.044147      0.000000      0.000000      0.000000
    157.712030      0.000000      0.000000      0.000000
    159.379913      0.000000      0.000000      0.000000
    161.047796      0.000000      0.000000      0.000000
    162.715678      0.000000      0.000000      0.000000
    164.383561      0.000000      0.000000      0.000000
    166.051444      0.000000      0.000000      0.000000
    167.719327      0.000000      0.000000      0.000000
    169.387210      0.000117      0.000117      0.000233
    171.055092      0.000000      0.000000      0.000000
    172.722975      0.000000      0.000000      0.000000
    174.390858      0.000000      0.000000      0.000000
    176.058741      0.010107      0.010108      0.020216
    177.726624      0.000000      0.000000      0.000000
    179.394506      0.160957      0.160963      0.321920
    181.062389      0.000000      0.000000      0.000000
    182.730272      0.000000      0.000000      0.000000
    184.398155      0.000000      0.000000      0.000000
    186.066038      0.103690      0.105266      0.208956
    187.733921      0.130396      0.130391      0.260787
    189.401803      0.000000      0.000000      0.000000
    191.069686      0.000000      0.000000      0.000000
    192.737569      0.029526      0.029526      0.059053
    194.405452      0.000000      0.000000      0.000000
    196.073335      0.000000      0.000000      0.000000
    197.741217      0.000000      0.000000      0.000000
    199.409100      0.000000      0.000000      0.000000
    201.076983      0.000000      0.000000      0.000000
    202.744866      0.000000      0.000000      0.000000
    204.412749      0.000000      0.000000      0.000000
    206.080631      0.000000      0.000000      0.000000
    207.748514      0.000000      0.000000      0.000000
    209.416397      0.012460      0.012612      0.025072
    211.084280      0.000000      0.000000      0.000000
    212.752163      1.207726      1.207717      2.415443
    214.420045      0.000043      0.000043      0.000086
