# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 94
# Emin, Emax in file for selected band(s):    -86.7798906    180.1951490
# Nbands, Nspin, Nk   =     94     2    44
# E_F                 =    -6.9257 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
     93.096267      0.291995      0.296117      0.588112
     94.440865      0.028364      0.016699      0.045064
     95.785463      0.597190      0.597858      1.195048
     97.130061      0.836462      0.845251      1.681713
     98.474659      0.018365      0.018236      0.036601
     99.819258      0.369544      0.372705      0.742250
    101.163856      0.624916      0.624799      1.249715
    102.508454      1.795417      1.235345      3.030762
    103.853052      0.620928      0.621348      1.242276
    105.197650      0.000001      0.000000      0.000001
    106.542249      0.181730      0.165590      0.347320
    107.886847      0.276731      0.468519      0.745250
    109.231445      0.006357      0.335344      0.341701
    110.576043      0.000000      0.000000      0.000000
    111.920641      0.001010      0.001700      0.002710
    113.265240      0.457903      0.342924      0.800828
    114.609838      0.000000      0.000000      0.000000
    115.954436      0.000000      0.000000      0.000000
    117.299034      1.314324      1.317079      2.631403
    118.643632      0.078996      0.079867      0.158864
    119.988230      0.010020      0.010247      0.020267
    121.332829      0.000024      0.000023      0.000047
    122.677427      0.000000      0.000000      0.000000
    124.022025      0.000000      0.000000      0.000000
    125.366623      0.000056      0.000101      0.000157
    126.711221      0.665434      0.568646      1.234080
    128.055820      0.305232      0.308728      0.613960
    129.400418      0.194750      0.407526      0.602276
    130.745016      0.024939      0.023200      0.048139
    132.089614      0.311729      0.311668      0.623397
    133.434212      0.000002      0.000002      0.000003
    134.778811      0.366347      0.366141      0.732488
    136.123409      0.475017      0.472591      0.947608
    137.468007      0.272047      0.271953      0.544000
    138.812605      0.058823      0.000000      0.058823
    140.157203      0.000000      0.000000      0.000000
    141.501802      0.000000      0.000000      0.000000
    142.846400      0.000000      0.000000      0.000000
    144.190998      0.000000      0.000000      0.000000
    145.535596      0.000000      0.000000      0.000000
    146.880194      0.000000      0.000000      0.000000
    148.224792      0.000000      0.000000      0.000000
    149.569391      0.000000      0.000000      0.000000
    150.913989      0.000000      0.000000      0.000000
    152.258587      0.000000      0.000000      0.000000
    153.603185      0.190029      0.285939      0.475967
    154.947783      0.280246      0.299858      0.580104
    156.292382      0.000000      0.000000      0.000000
    157.636980      0.000000      0.000000      0.000000
    158.981578      0.611239      0.488201      1.099440
    160.326176      0.092048      0.089285      0.181333
    161.670774      0.000234      0.000287      0.000521
    163.015373      0.013363      0.015233      0.028596
    164.359971      0.000000      0.000000      0.000000
    165.704569      0.000000      0.000000      0.000000
    167.049167      0.040744      0.025488      0.066232
    168.393765      0.000040      0.000030      0.000070
    169.738363      0.171290      0.137825      0.309114
    171.082962      0.000000      0.000000      0.000000
    172.427560      0.000000      0.000000      0.000000
    173.772158      0.000000      0.000000      0.000000
    175.116756      0.019761      0.017369      0.037131
    176.461354      0.000000      0.000000      0.000000
    177.805953      0.000000      0.000000      0.000000
    179.150551      0.000000      0.000000      0.000000
    180.495149      0.001155      0.001798      0.002952
